city,country,year,avg_temp
Milan,Italy,1959,7.61
Milan,Italy,1960,6.87
Milan,Italy,1961,7.90
Milan,Italy,1962,6.57
Milan,Italy,1963,6.27
Milan,Italy,1964,7.31
Milan,Italy,1965,6.32
Milan,Italy,1966,7.18
Milan,Italy,1967,7.26
Milan,Italy,1968,6.89
Milan,Italy,1969,6.55
Milan,Italy,1970,6.63
Milan,Italy,1971,7.15
Milan,Italy,1972,6.73
Milan,Italy,1973,6.91
Milan,Italy,1974,7.14
Milan,Italy,1975,7.26
Milan,Italy,1976,7.08
Milan,Italy,1977,6.85
Milan,Italy,1978,6.43
Milan,Italy,1979,6.87
Milan,Italy,1980,6.43
Milan,Italy,1981,6.95
Milan,Italy,1982,7.49
Milan,Italy,1983,7.49
Milan,Italy,1984,6.49
Milan,Italy,1985,6.87
Milan,Italy,1986,7.12
Milan,Italy,1987,7.19
Milan,Italy,1988,7.65
Milan,Italy,1989,7.86
Milan,Italy,1990,7.97
Milan,Italy,1991,7.28
Milan,Italy,1992,7.76
Milan,Italy,1993,7.43
Milan,Italy,1994,8.39
Milan,Italy,1995,7.43
Milan,Italy,1996,7.06
Milan,Italy,1997,8.18
Milan,Italy,1998,7.77
Milan,Italy,1999,7.64
Milan,Italy,2000,8.13
Milan,Italy,2001,7.83
Milan,Italy,2002,8.15
Milan,Italy,2003,8.55
Milan,Italy,2004,7.74
Milan,Italy,2005,7.33
Milan,Italy,2006,8.15
Milan,Italy,2007,8.40
Milan,Italy,2008,7.91
Milan,Italy,2009,8.11
Milan,Italy,2010,7.05
Milan,Italy,2011,8.68
Milan,Italy,2012,8.05
Milan,Italy,2013,8.04
